character	code_point	unicode_name	unicode_category	count
M	U+004D	LATIN CAPITAL LETTER M	Lu	21653
N	U+004E	LATIN CAPITAL LETTER N	Lu	18817
O	U+004F	LATIN CAPITAL LETTER O	Lu	7422
P	U+0050	LATIN CAPITAL LETTER P	Lu	18828
Q	U+0051	LATIN CAPITAL LETTER Q	Lu	4944
R	U+0052	LATIN CAPITAL LETTER R	Lu	39656
S	U+0053	LATIN CAPITAL LETTER S	Lu	32044
T	U+0054	LATIN CAPITAL LETTER T	Lu	22485
U	U+0055	LATIN CAPITAL LETTER U	Lu	3217
V	U+0056	LATIN CAPITAL LETTER V	Lu	3217
W	U+0057	LATIN CAPITAL LETTER W	Lu	5915
X	U+0058	LATIN CAPITAL LETTER X	Lu	6237
Y	U+0059	LATIN CAPITAL LETTER Y	Lu	9245
Z	U+005A	LATIN CAPITAL LETTER Z	Lu	4217
[	U+005B	LEFT SQUARE BRACKET	Ps	2
\	U+005C	REVERSE SOLIDUS	Po	15
]	U+005D	RIGHT SQUARE BRACKET	Pe	3
_	U+005F	LOW LINE	Pc	25003
`	U+0060	GRAVE ACCENT	Sk	1736
a	U+0061	LATIN SMALL LETTER A	Ll	1013598
b	U+0062	LATIN SMALL LETTER B	Ll	248195
c	U+0063	LATIN SMALL LETTER C	Ll	61808
d	U+0064	LATIN SMALL LETTER D	Ll	373037
e	U+0065	LATIN SMALL LETTER E	Ll	892932
f	U+0066	LATIN SMALL LETTER F	Ll	42056
g	U+0067	LATIN SMALL LETTER G	Ll	111644
h	U+0068	LATIN SMALL LETTER H	Ll	215138
i	U+0069	LATIN SMALL LETTER I	Ll	855576
j	U+006A	LATIN SMALL LETTER J	Ll	111606
k	U+006B	LATIN SMALL LETTER K	Ll	354625
l	U+006C	LATIN SMALL LETTER L	Ll	221303
m	U+006D	LATIN SMALL LETTER M	Ll	199624
n	U+006E	LATIN SMALL LETTER N	Ll	724513
o	U+006F	LATIN SMALL LETTER O	Ll	197910
p	U+0070	LATIN SMALL LETTER P	Ll	101945
q	U+0071	LATIN SMALL LETTER Q	Ll	22906
r	U+0072	LATIN SMALL LETTER R	Ll	647669
s	U+0073	LATIN SMALL LETTER S	Ll	202252
t	U+0074	LATIN SMALL LETTER T	Ll	307200
u	U+0075	LATIN SMALL LETTER U	Ll	127873
v	U+0076	LATIN SMALL LETTER V	Ll	181744
w	U+0077	LATIN SMALL LETTER W	Ll	138424
x	U+0078	LATIN SMALL LETTER X	Ll	76804
y	U+0079	LATIN SMALL LETTER Y	Ll	304823
z	U+007A	LATIN SMALL LETTER Z	Ll	86145
|	U+007C	VERTICAL LINE	Sm	19484
°	U+00B0	DEGREE SIGN	So	1
´	U+00B4	ACUTE ACCENT	Sk	2
Ç	U+00C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	16512
É	U+00C9	LATIN CAPITAL LETTER E WITH ACUTE	Lu	2
Ê	U+00CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	3205
Î	U+00CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	15059
Ö	U+00D6	LATIN CAPITAL LETTER O WITH DIAERESIS	Lu	3
Û	U+00DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	3423
á	U+00E1	LATIN SMALL LETTER A WITH ACUTE	Ll	14
â	U+00E2	LATIN SMALL LETTER A WITH CIRCUMFLEX	Ll	1
ç	U+00E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	32528
è	U+00E8	LATIN SMALL LETTER E WITH GRAVE	Ll	14
é	U+00E9	LATIN SMALL LETTER E WITH ACUTE	Ll	24
ê	U+00EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	489021
ë	U+00EB	LATIN SMALL LETTER E WITH DIAERESIS	Ll	9
ì	U+00EC	LATIN SMALL LETTER I WITH GRAVE	Ll	1
í	U+00ED	LATIN SMALL LETTER I WITH ACUTE	Ll	3
î	U+00EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	322686
ï	U+00EF	LATIN SMALL LETTER I WITH DIAERESIS	Ll	2
ó	U+00F3	LATIN SMALL LETTER O WITH ACUTE	Ll	13
ô	U+00F4	LATIN SMALL LETTER O WITH CIRCUMFLEX	Ll	1
ö	U+00F6	LATIN SMALL LETTER O WITH DIAERESIS	Ll	6
ø	U+00F8	LATIN SMALL LETTER O WITH STROKE	Ll	3
û	U+00FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	151925
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	37
Ş	U+015E	LATIN CAPITAL LETTER S WITH CEDILLA	Lu	6404
ş	U+015F	LATIN SMALL LETTER S WITH CEDILLA	Ll	126120
–	U+2013	EN DASH	Pd	384
‘	U+2018	LEFT SINGLE QUOTATION MARK	Pi	1641
’	U+2019	RIGHT SINGLE QUOTATION MARK	Pf	15038
“	U+201C	LEFT DOUBLE QUOTATION MARK	Pi	10992
”	U+201D	RIGHT DOUBLE QUOTATION MARK	Pf	11661
•	U+2022	BULLET	Po	26
…	U+2026	HORIZONTAL ELLIPSIS	Po	180
″	U+2033	DOUBLE PRIME	Po	6
